17/10/22 00:08:43 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/22 00:08:43 INFO client.RMProxy: Connecting to ResourceManager at cluster-780d-m/10.138.0.5:8032
17/10/22 00:08:44 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/22 00:08:47 INFO input.FileInputFormat: Total input files to process : 3035
17/10/22 00:08:47 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/22 00:08:47 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508615598063_0002
17/10/22 00:08:47 INFO impl.YarnClientImpl: Submitted application application_1508615598063_0002
17/10/22 00:08:48 INFO mapreduce.Job: The url to track the job: http://cluster-780d-m:8088/proxy/application_1508615598063_0002/
17/10/22 00:08:48 INFO mapreduce.Job: Running job: job_1508615598063_0002
17/10/22 00:08:56 INFO mapreduce.Job: Job job_1508615598063_0002 running in uber mode : false
17/10/22 01:21:02 INFO mapreduce.Job:  map 100% reduce 54%
17/10/22 01:21:03 INFO mapreduce.Job:  map 100% reduce 56%
17/10/22 01:21:04 INFO mapreduce.Job:  map 100% reduce 58%
17/10/22 01:21:08 INFO mapreduce.Job:  map 100% reduce 60%
17/10/22 01:21:09 INFO mapreduce.Job:  map 100% reduce 61%
17/10/22 01:21:10 INFO mapreduce.Job:  map 100% reduce 63%
17/10/22 01:21:14 INFO mapreduce.Job:  map 100% reduce 64%
17/10/22 01:21:15 INFO mapreduce.Job:  map 100% reduce 65%
17/10/22 01:21:19 INFO mapreduce.Job:  map 100% reduce 66%
17/10/22 01:21:20 INFO mapreduce.Job:  map 100% reduce 67%
17/10/22 01:21:21 INFO mapreduce.Job:  map 100% reduce 68%
17/10/22 01:21:25 INFO mapreduce.Job:  map 100% reduce 69%
17/10/22 01:21:26 INFO mapreduce.Job:  map 100% reduce 70%
17/10/22 01:21:27 INFO mapreduce.Job:  map 100% reduce 71%
17/10/22 01:21:31 INFO mapreduce.Job:  map 100% reduce 72%
17/10/22 01:21:33 INFO mapreduce.Job:  map 100% reduce 73%
17/10/22 01:21:34 INFO mapreduce.Job:  map 100% reduce 74%
17/10/22 01:21:38 INFO mapreduce.Job:  map 100% reduce 75%
17/10/22 01:21:40 INFO mapreduce.Job:  map 100% reduce 76%
17/10/22 01:21:43 INFO mapreduce.Job:  map 100% reduce 77%
17/10/22 01:21:44 INFO mapreduce.Job:  map 100% reduce 78%
17/10/22 01:21:46 INFO mapreduce.Job:  map 100% reduce 79%
17/10/22 01:21:49 INFO mapreduce.Job:  map 100% reduce 80%
17/10/22 01:21:51 INFO mapreduce.Job:  map 100% reduce 81%
17/10/22 01:21:52 INFO mapreduce.Job:  map 100% reduce 82%
17/10/22 01:21:56 INFO mapreduce.Job:  map 100% reduce 83%
17/10/22 01:21:58 INFO mapreduce.Job:  map 100% reduce 84%
17/10/22 01:22:01 INFO mapreduce.Job:  map 100% reduce 85%
17/10/22 01:22:03 INFO mapreduce.Job:  map 100% reduce 86%
17/10/22 01:22:04 INFO mapreduce.Job:  map 100% reduce 87%
17/10/22 01:22:08 INFO mapreduce.Job:  map 100% reduce 88%
17/10/22 01:22:09 INFO mapreduce.Job:  map 100% reduce 89%
17/10/22 01:22:13 INFO mapreduce.Job:  map 100% reduce 90%
17/10/22 01:22:15 INFO mapreduce.Job:  map 100% reduce 91%
17/10/22 01:22:16 INFO mapreduce.Job:  map 100% reduce 92%
17/10/22 01:22:20 INFO mapreduce.Job:  map 100% reduce 93%
17/10/22 01:22:21 INFO mapreduce.Job:  map 100% reduce 94%
17/10/22 01:22:27 INFO mapreduce.Job:  map 100% reduce 95%
17/10/22 01:22:28 INFO mapreduce.Job:  map 100% reduce 96%
17/10/22 01:22:33 INFO mapreduce.Job:  map 100% reduce 97%
17/10/22 01:22:39 INFO mapreduce.Job:  map 100% reduce 98%
17/10/22 01:22:44 INFO mapreduce.Job:  map 100% reduce 99%
17/10/22 01:22:51 INFO mapreduce.Job:  map 100% reduce 100%
17/10/22 01:22:54 INFO mapreduce.Job: Job job_1508615598063_0002 completed successfully
17/10/22 01:22:55 INFO mapreduce.Job: Counters: 55
	File System Counters
		FILE: Number of bytes read=3420439283
		FILE: Number of bytes written=7276985798
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141053926
		GS: Number of bytes written=234677161
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=427608
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Launched map tasks=3035
		Launched reduce tasks=8
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=119509944
		Total time spent by all reduces in occupied slots (ms)=7877788
		Total time spent by all map tasks (ms)=29877486
		Total time spent by all reduce tasks (ms)=1969447
		Total vcore-milliseconds taken by all map tasks=29877486
		Total vcore-milliseconds taken by all reduce tasks=1969447
		Total megabyte-milliseconds taken by all map tasks=61189091328
		Total megabyte-milliseconds taken by all reduce tasks=4033427456
	Map-Reduce Framework
		Map input records=3035
		Map output records=210623260
		Map output bytes=2999192680
		Map output materialized bytes=3420584909
		Input split bytes=427608
		Combine input records=0
		Combine output records=0
		Reduce input groups=1218245
		Reduce shuffle bytes=3420584909
		Reduce input records=210623260
		Reduce output records=1218245
		Spilled Records=421246520
		Shuffled Maps =24280
		Failed Shuffles=0
		Merged Map outputs=24280
		GC time elapsed (ms)=592521
		CPU time spent (ms)=5201880
		Physical memory (bytes) snapshot=1440191123456
		Virtual memory (bytes) snapshot=10627997069312
		Total committed heap usage (bytes)=1296750346240
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141053926
	File Output Format Counters 
		Bytes Written=234677161
